City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
326,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
333,Poum,NC,77.4,overcast clouds,-20.2333,164.0167,
337,Yucaipa,US,82.87,clear sky,34.0336,-117.0431,Yucaipa Regional Park
338,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
340,Hurghada,EG,80.58,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
341,Anloga,GH,77.11,broken clouds,5.7947,0.8973,Pin Drop Hotel
342,Bandarbeyla,SO,78.57,scattered clouds,9.4942,50.8122,JABIR HOTEL
344,Bethel,US,75.07,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
345,Kolokani,ML,75.22,light rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
349,Esmeralda,CU,76.3,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
352,Takoradi,GH,75.63,overcast clouds,4.8845,-1.7554,Raybow International Hotel
353,Puri,IN,83.59,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
355,Miles City,US,83.37,broken clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
356,Dongli,CN,84.18,light rain,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
357,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
360,Bud,US,81.48,broken clouds,39.447,-86.1758,Ted McQuinn Trust
365,Lorengau,PG,83.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
367,Sao Jose Da Coroa Grande,BR,75.33,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
370,Lazaro Cardenas,MX,80.89,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
373,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
374,Kijang,KR,85.73,light rain,35.2442,129.2139,Samyang Beach Villa
375,College,US,85.59,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
376,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
377,Kuching,MY,86.22,few clouds,1.55,110.3333,Hilton Kuching
383,North Branch,US,77.07,scattered clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
388,Davila,PH,87.78,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
394,Santa Clarita,US,85.05,clear sky,34.3917,-118.5426,Hyatt Regency Valencia
395,Dumas,US,78.53,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
398,Kapoeta,SS,76.41,light rain,4.7717,33.5903,Eastgate Hotel
400,Palu,ID,79.7,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
401,Tadine,NC,79.86,broken clouds,-21.55,167.8833,
403,Marawi,PH,81.07,broken clouds,7.9986,124.2928,Derogongan Residence
404,Bubaque,GW,80.49,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
405,Khash,IR,76.42,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
406,Omsukchan,RU,85.6,scattered clouds,62.5333,155.8,
408,Xuchang,CN,89.56,clear sky,34.0167,113.8167,Super 8 Hotel
409,Machhlishahr,IN,89.92,scattered clouds,25.6833,82.4167,Dulhan pelece
412,Barcelos,PT,77.85,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
413,Russell,US,84.0,clear sky,32.3502,-85.1999,Macs
414,Umm Lajj,SA,83.82,scattered clouds,25.0213,37.2685,Moon light Furnished Units
415,Apatzingan,MX,81.1,broken clouds,19.0833,-102.35,Motel del Angel
416,Sao Felix Do Xingu,BR,76.3,broken clouds,-6.6447,-51.995,Rio Xingu Camping
417,Sulangan,PH,82.67,scattered clouds,11.1373,123.7228,Maia's Beach Resort
418,Patan,NP,75.58,broken clouds,27.6667,85.3333,Hotel Himalaya
422,Avera,US,80.65,few clouds,33.194,-82.5271,
423,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
425,Nizwa,OM,80.35,light rain,22.9333,57.5333,Orient Apartments
427,Dauriya,RU,75.83,broken clouds,49.9333,116.8667,
429,Shimoda,JP,82.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
431,Riyadh,SA,86.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
433,Nuevitas,CU,79.07,clear sky,21.5453,-77.2644,Hotel Caonaba
436,Kudahuvadhoo,MV,81.37,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
439,Adre,TD,80.6,few clouds,13.4667,22.2,
440,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
448,Nguru,NG,86.38,broken clouds,12.8791,10.4526,Government Lodge
453,Tecoanapa,MX,81.97,overcast clouds,16.5167,-98.75,Hotel Manglares
454,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
457,Isla Vista,US,78.78,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
458,Estelle,US,84.2,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
461,Morgan City,US,80.01,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
464,Dongkan,CN,86.58,clear sky,33.9997,119.8308,Triumphal Resort
466,Springdale,US,89.73,clear sky,36.1867,-94.1288,Springdale Inn
469,Myrtle Beach,US,83.34,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
474,Road Town,VG,77.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
476,Cape Girardeau,US,85.59,scattered clouds,37.3834,-89.7168,Independence Park Mobile Home Court
479,Havelock,US,82.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
481,Harper,LR,75.7,overcast clouds,4.375,-7.7169,Screensaver
486,Bambanglipuro,ID,81.12,few clouds,-7.95,110.2833,Puri Brata
489,Changping,CN,87.44,clear sky,40.2186,116.2197,Huachang Hotel
491,Gondanglegi,ID,80.1,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
494,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Novotel Dakar
496,Ixtapa,MX,83.23,broken clouds,20.7,-105.2,hotel la terminal
497,Nicoya,CR,75.02,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
499,Jashpurnagar,IN,76.24,overcast clouds,22.9,84.15,Sagar Restaurant
500,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
503,Hami,CN,82.49,clear sky,42.8,93.45,Laoyutang Resort
504,Minot,US,78.91,clear sky,48.2325,-101.2963,Noble Inn
505,Tukrah,LY,77.79,clear sky,32.5341,20.5791,Lagrota restaurant
508,Kutum,SD,80.13,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
509,Ternate,ID,79.57,heavy intensity rain,0.8,127.4,Sahid Bela Ternate Hotel
510,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
513,Tautira,PF,77.77,light rain,-17.7333,-149.15,Pension Oaoa
515,Dwarka,IN,82.69,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
516,Kerman,IR,76.86,clear sky,30.2832,57.0788,هتل آپارتمان آسام
518,Felipe Carrillo Puerto,MX,76.82,clear sky,19.5833,-88.05,Hotel La Ceiba
519,Kampong Cham,KH,84.69,overcast clouds,11.9934,105.4635,7 Makara Hotel
521,Nabire,ID,77.88,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
522,Lop Buri,TH,88.02,heavy intensity rain,14.7981,100.654,ลพบุรีอินน์ รีสอร์ท Lopburi Inn Resort
524,Vostok,RU,84.27,broken clouds,46.4856,135.8833,
527,Wuhu,CN,88.12,scattered clouds,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
529,Tabuk,PH,83.64,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
537,Tutoia,BR,79.74,overcast clouds,-2.7619,-42.2744,Pousada Guará's
541,Segou,ML,83.79,overcast clouds,13.4317,-6.2157,Comme chez soi
545,Ankang,CN,87.69,clear sky,32.68,109.0172,安琪酒店
546,Qandala,SO,85.86,broken clouds,11.472,49.8728,
552,Vysokogornyy,RU,86.07,broken clouds,50.1167,139.15,
553,Vanimo,PG,84.54,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
555,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
556,Sorong,ID,76.91,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
559,Dharangaon,IN,80.56,overcast clouds,21.0167,75.2667,मंथन
