City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
111,Arraial Do Cabo,-22.9661,-42.0278,70.09,86,0,24.11,BR,clear sky
112,Turek,52.0155,18.5005,53.62,63,100,6.22,PL,overcast clouds
113,Saint-Philippe,-21.3585,55.7679,65.21,73,68,10.65,RE,broken clouds
114,Maningrida,-12.0667,134.2667,78.33,37,63,11.59,AU,broken clouds
115,Zhireken,52.8249,117.3076,58.71,87,99,8.9,RU,overcast clouds
116,Birao,10.2849,22.7882,72.63,88,58,7.36,CF,light rain
117,Saint Anthony,45.0205,-93.218,78.73,74,20,5.75,US,few clouds
118,Ambilobe,-13.2,49.05,61.34,85,1,4.36,MG,clear sky
119,Cape Town,-33.9258,18.4232,57.38,80,40,5.75,ZA,scattered clouds
120,Meulaboh,4.1363,96.1285,81.48,74,55,1.5,ID,broken clouds
121,Ribeira Grande,38.5167,-28.7,66.18,81,100,14.79,PT,overcast clouds
122,Hovd,48.0056,91.6419,65.17,30,0,2.24,MN,clear sky
123,Priyutnoye,46.1011,43.5072,64.4,52,0,8.05,RU,clear sky
124,Cap Malheureux,-19.9842,57.6142,69.48,58,81,5.99,MU,broken clouds
125,Areia Branca,-4.9561,-37.1369,76.91,77,42,15.97,BR,moderate rain
126,Kathmandu,27.7167,85.3167,73.62,94,75,2.3,NP,broken clouds
127,Leningradskiy,69.3833,178.4167,34.88,91,100,12.88,RU,overcast clouds
128,Avarua,-21.2078,-159.775,75.25,57,46,5.75,CK,scattered clouds
129,Rapid Valley,44.0625,-103.1463,82.72,58,0,11.5,US,clear sky
130,Dingle,10.9995,122.6711,83.17,79,97,4.47,PH,overcast clouds
131,Rosarito,32.3333,-117.0333,75.67,73,14,13.33,MX,few clouds
132,Conway,35.0887,-92.4421,91.24,52,40,6.91,US,scattered clouds
133,Caravelas,-17.7125,-39.2481,71.85,80,75,4.36,BR,broken clouds
134,Plettenberg Bay,-34.0527,23.3716,55.99,58,0,5.14,ZA,clear sky
135,Odweyne,9.4092,45.064,68.25,67,12,20.18,SO,few clouds
136,Blyznyuky,48.8578,36.5551,67.03,42,3,7.29,UA,clear sky
137,Vredendal,-31.6683,18.5012,46.6,70,2,3.31,ZA,clear sky
138,Kodiak,57.79,-152.4072,56.71,82,100,10.36,US,light rain
139,Mount Isa,-20.7333,139.5,65.97,39,0,10.36,AU,clear sky
140,Ndjole,-0.1783,10.7649,72.64,87,93,4.27,GA,overcast clouds
141,Maceio,-9.6658,-35.7353,74.64,88,75,8.05,BR,broken clouds
142,Victoria,22.2855,114.1577,88.97,82,97,8.99,HK,overcast clouds
143,Samarai,-10.6167,150.6667,83.01,75,25,9.73,PG,scattered clouds
144,Ugoofaaru,5.6667,73.0,82.96,79,100,16.84,MV,light rain
145,Codrington,-38.2667,141.9667,55.02,62,40,17.65,AU,scattered clouds
146,Hobart,-42.8794,147.3294,55.26,63,5,3.0,AU,clear sky
147,Butaritari,3.0707,172.7902,82.44,75,94,21.32,KI,light rain
148,Tiksi,71.6872,128.8694,41.76,75,100,3.53,RU,overcast clouds
149,Hualmay,-11.0964,-77.6139,61.16,83,67,3.96,PE,broken clouds
150,Honningsvag,70.9821,25.9704,49.75,93,100,2.3,NO,overcast clouds
151,Tezpur,26.6333,92.8,84.65,77,11,8.84,IN,few clouds
152,Svetlyy,54.675,20.1347,57.25,85,79,12.17,RU,broken clouds
153,Guerrero Negro,27.9769,-114.0611,68.65,80,0,17.4,MX,clear sky
154,Dustlik,40.5247,68.0358,74.05,33,0,7.27,UZ,clear sky
155,Worthington,40.0931,-83.018,74.19,90,75,8.05,US,broken clouds
156,Dong Hoi,17.4833,106.6,88.48,65,100,8.1,VN,overcast clouds
157,Nassau,40.7507,-73.5829,81.93,64,0,5.75,US,clear sky
158,Lowestoft,52.4752,1.7516,62.85,84,96,17.94,GB,overcast clouds
159,Amalapuram,16.5833,82.0167,79.77,86,100,6.67,IN,overcast clouds
160,Lodja,-3.4833,23.4333,67.57,47,4,2.57,CD,clear sky
161,Puerto Ayora,-0.7393,-90.3518,69.55,95,57,4.0,EC,broken clouds
162,Zapolyarnyy,69.4154,30.8136,52.88,75,70,5.77,RU,broken clouds
163,High Level,58.5169,-117.136,73.51,49,40,0.0,CA,scattered clouds
164,Yellowknife,62.456,-114.3525,68.52,49,75,5.75,CA,broken clouds
165,Longyearbyen,78.2186,15.6401,40.84,60,0,19.57,SJ,clear sky
